acabo,"acaba, acaban",,,
acacias,las acacias,,,
acceso,"accesos, rampa de acceso",,,
accidentado,accidentados,,,
adjuntas,"las adjuntas, adj",,,
francisco fajardo,"ff, aff, autopista francisco fajardo, fajardo, autopff",,,
altamira,alt,,,
altura,nivel,,,
alerta,"cuidado, peligro, atención",,,
ambos,"ambos sentidos, ambossentidos, ambasdirecciones",,,
Anzoategui,anz,,,
alterna,alternas,,,
regional del centro,"arc, autopista regional del centro",,,
atascada,"atascado, atascados, atasco",,,
atracador,"atracadores, atracarlas",,,
auto,"autobus, autobuses, autobusete, buseta, camión, gandola, camioncito, camiones, camioneteros, pick up",,,
autopista,"autopistas, autop",,,
autoridad,autoridades,,,
avanzando,"avance, avanzan, avanzar",,,
avenida,"av, ave",,,
avlibertador,"avenida libertador, libertador",,,
avohiggins,"avenida o'higgins, o'higgins",,,
avnvagranda,"avenida nueva granada, nvagranda",,,
avlecuna,"lecuna, avenida lecuna",,,
avfcodemiranda,"avenida francisco de miranda, francisco de miranda, fco, fm",,,
avpanteon,"avenida panteon, la panteon",,,
avsucre,avenida sucre,,,
avuniversidad,avenida universidad,,,
avurdaneta,"avenida urdanera, la urdaneta",,,
ayuda,"ayudar, ayudando",,,
baja,"bajando, bajada, bajan",,,
bandera,la bandera,,,
baralt,baral,,,
barquisimeto,"bqto, barqusimeto",,,
baruta,brt,,,
boleíta,boleita,,,
bolívar,bolivar,,,
boyaca,"avenida boyaca, cota mil, cmil, cotamil, cota, boyacá",,,
boulevar,"bulevar, blv, bvard",,,
cafetal,"cafetales, caf",,,
calle,"calles, cll",,,
campitos,campits,,,
ccct,cct,,,
camión,camiones,,,
carabobo,cbb,,,
caracas,"carac, ccs, ccas",,,
carro,carros,,,
centro comercial,cc,,,
cerrada,"cerrado, cerradas, cerrados, cierre",,,
charallave,charallavecua,,,
choque,"choques, colisión, accidente, accidnt, choca, chocada, chocan, chocaron, choq",,,
circunvalación,circunvalacion,,,
circulación,"circulacion, circular, circula",,,
cola,"colas, colotas, colita",,,
colapsada,"colapsado, colapsados, colafuerte",,,
colisión,"colisición, colisionó",,,
complicada,"complica, complicaciones, complicada, complicado, complicaiones, complicando, complico",,,
conductor,conductores,,,
congestion,"congestionada, congestionado, congestión, congestionamiento, congestión,  conjestionada",,,
country,country club,,,
demoler,"demolición, demoliciones, demoliendo,  demolicion",,,
depejada,"despejado, despajada",,,
después,despues,,,
detenida,"detenido, detenidos, detenidas",,,
distribuidor,"distr, distrb, distrib, distribu, dstribuidor",,,
dirección,"dir, direcciones, direccion",,,
dmetropolitano,"distribuidos metropolitano, metropolitano",,,
encunetada,"encunetado, encunetamiento",,,
excelente,"exelente, excelete",,,
evitar,"evitarla, eviten",,,
filas de mariche,filasdemariche,,,
fluida,"fluido, fluidez, fluye",,,
gandola,"ganadola, gandola",,,
gma,"autopista gran mariscal ayacucho, guarenas, guatire",,,
guarenas,guarena,,,
hombrillo,"hombri, hombrilo",,,
hueco,huecos,,,
incorporar,"incorporacion, incorporación, incorporarse, incoporase",,,
iut,iutrc,,,
rio de janeiro,"rio, janeiro",,,
lluvia,"llueve, lluvias, lloviznando, llovizna",,,
mariperes,maripérez,,,
mariches,mariche,,,
mejorar,"mejorando, mejora,  mejorado, mejor",,,
motorizado,"motoriz, motorizados",,,
moderado,"moderada, moderad",,,
mampote,mapote,,,
manifestación,"manifestacion, manifestantes, manifestaciones",,,
maracay,mcy,,,
oeste,oe,,,
este,e,,,
parada,"parados, parado",,,
pequeño,"pequeña, pequeñas, pequeños",,,
precaución,"precaucion, precauciones, precau, precauci, prec",,,
problema,problemas,,,
principal,"ppal, ppl, avppal, ppla",,,
prados del este,"pde, prados",,,
panamericana,panamerciana,,,
plaza venezuea,"pvzla, pza, pzavnzla, pzavzla, pzvla",,,
hoyo de la puerta,"hdlp, hdp, redoma hoyo de la puerta",,,
recomendación,"recomendacion, recomendable, recomendamos,  recomienda, recomiendo",,,
restringido,"restringen, restringe, restricción, restriccion, restricciones, restringido",,,
restablecer,"restablecen, restablece, restablecida, restablecimiento, restablezcan",,,
retraso,retrasos,,,
retardo,"retardos, retaso",,,
rápido,"rapido, rapida, rápida, rápido",,,
ruices,ruises,,,
salir,"saliendo, salida, salids, salidas",,,
semaforo,"semáforo, semaforos, semáforos",,,
sebucan,"sebuca, srbucan",,,
san antonio,"sa, saa",,,
sector,sectores,,,
la simon,"usb, universidad simón bolívar",,,
trafico,"cola, tranca",,,
transitable,"transit, transita",,,
trancado,"trancada, tranca, trancamericana, trancan, trancando, trancaron, trancarse",,,
tránsito,"transito, transitando, transitar, transite, transitado, transitada",,,
tunel,tuneles,,,
tercer,"terc, tercera, tercerca",,,
los teques,ltq,,,
tranca,"trancado, trancada",,,
universidad,"universida, universidades",,,
universidad central de venezuela,"ucv, central",,,
universida catolica,"ucab, catolica",,,
venezuela,"veneziuela, vzla, venezue, ven, vzl, vzla,vzlaezuela",,,
volcamiento,"vuelco, volcado, volcada, volcad, volteado, voltear, volteó",,,
vía,"via, viaducto, vías",,,
volúmen,volumen,,,